paramHeader,param,LatentClass,est_weighted,est_unit,model,diff,type,class_specific
VDORI.ON,X1,1,-0.076,-0.076,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X2,1,0.391,0.391,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X3,1,-1.647,-1.647,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X4,1,0.76,0.76,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X5,1,-0.031,-0.031,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X6,1,-0.204,-0.204,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X7,1,0.146,0.146,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X1X4,1,0.007,0.007,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X1X5,1,0.138,0.138,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X1X6,1,0.082,0.082,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X1X7,1,-0.01,-0.01,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X2X4,1,-0.273,-0.273,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X2X5,1,-1.067,-1.067,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X2X6,1,-1.065,-1.065,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X2X7,1,0.029,0.029,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X3X4,1,1.132,1.132,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X3X5,1,4.982,4.982,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X3X6,1,9.34,9.34,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X3X7,1,-0.09,-0.09,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X4X5,1,1.014,1.014,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X4X6,1,-0.106,-0.106,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X4X7,1,-0.054,-0.054,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X5X7,1,-0.013,-0.013,cognition,0,regression (fixed norms),FALSE
VDORI.ON,X6X7,1,-0.081,-0.081,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X1,1,-0.006,-0.006,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X2,1,0.016,0.016,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X3,1,-0.042,-0.042,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X4,1,0.001,0.001,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X5,1,-0.028,-0.028,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X6,1,-0.033,-0.033,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X7,1,0.009,0.009,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X1X4,1,0.003,0.003,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X1X5,1,0.001,0.001,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X1X6,1,0.003,0.003,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X1X7,1,0.001,0.001,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X2X4,1,-0.015,-0.015,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X2X5,1,0.002,0.002,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X2X6,1,-0.002,-0.002,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X2X7,1,-0.004,-0.004,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X3X4,1,0.047,0.047,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X3X5,1,-0.022,-0.022,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X3X6,1,-0.049,-0.049,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X3X7,1,0.014,0.014,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X4X5,1,-0.01,-0.01,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X4X6,1,0.022,0.022,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X4X7,1,0.003,0.003,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X5X7,1,-0.002,-0.002,cognition,0,regression (fixed norms),FALSE
VDLFL1Z.ON,X6X7,1,-0.004,-0.004,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X1,1,-0.069,-0.069,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X2,1,-0.544,-0.544,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X3,1,3.344,3.344,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X4,1,-0.783,-0.783,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X5,1,-1.332,-1.332,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X6,1,-0.658,-0.658,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X7,1,0.206,0.206,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X1X4,1,-0.101,-0.101,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X1X5,1,0.309,0.309,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X1X6,1,0.487,0.487,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X1X7,1,0.031,0.031,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X2X4,1,1.714,1.714,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X2X5,1,-2.129,-2.129,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X2X6,1,-3.447,-3.447,cognition,0,regression (fixed norms),FALSE
VDLFL2.ON,X2X7,1,-0.226,-0.226,cognition,0,regression (fixed norms),FALSE
